team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         21   20 9861 1563 3563  427 1240  637  831  426 1812  894  366  578  197  845  4190  13   0   0
BostonCeltics        18   23 9889 1560 3429  367 1086  831 1089  422 1824  892  301  555  203  830  4318  17   0   0
CharlotteHornets     27   14 9937 1625 3538  490 1303  607  785  386 1846 1011  290  528  224  790  4347  11   0   0
ChicagoBulls         25   16 9883 1638 3612  390 1089  606  774  465 1827  964  320  518  189  753  4272  15   0   0
ClevelandCavaliers   21   20 9944 1705 3628  425 1167  665  871  462 1876  997  324  501  197  830  4500   6   0   0
DallasMavericks      29   12 9858 1545 3176  420 1025  746  963  342 1811  915  257  597  148  767  4256   7   0   0
DenverNuggets        23   18 9833 1730 3619  410 1075  710  905  386 1692 1002  348  480  236  824  4580   8   0   0
DetroitPistons       28   13 9918 1636 3408  430 1068  643  834  312 1745 1010  285  471  165  695  4345   8   0   0
GSWarriors           10   31 9855 1585 3605  384 1138  777 1007  485 1815  915  349  630  174  799  4331  21   0   0
HoustonRockets       16   25 9910 1682 3607  412 1189  767  977  435 1778  994  375  577  207  823  4543  24   0   0
IndianaPacers        28   13 9935 1609 3464  449 1210  800 1019  457 1833 1014  363  593  181  794  4467   7   0   0
LAClippers           19   22 9880 1639 3522  394 1068  756  972  407 1770  998  293  473  154  901  4428  20   0   0
LALakers             32    9 9849 1730 3557  433 1150  772 1011  443 1897 1079  371  568  224  762  4665   7   0   0
MemphisGrizzlies     22   19 9984 1474 3237  416 1148  853 1109  389 1742  882  275  551  187  830  4217  11   0   0
MiamiHeat            23   18 9829 1527 3398  334  930  782 1004  439 1829  875  274  532  236  739  4170  14   0   0
MilwaukeeBucks       22   19 9860 1573 3448  410 1160  711  946  458 1787  996  317  529  194  734  4267  13   0   0
MinnesotaT-wolves    30   11 9909 1677 3473  411 1102  732  960  428 1706 1015  308  549  246  799  4497  14   0   0
BrooklynNets         34    7 9841 1742 3726  416 1112  818 1041  443 1926 1010  374  521  239  823  4718  11   0   0
NOrleansPelicans     28   13 9946 1644 3623  437 1235  613  818  444 1985  968  313  571  171  776  4338  16   0   0
NYKnicks             29   12 9997 1648 3610  399 1128  797 1041  467 1887  929  300  500  203  767  4492  15   0   0
OrlandoMagic         28   13 9907 1722 3573  412 1092  714  929  390 1859 1034  321  503  224  754  4570   3   0   0
Philadelphia76ers    30   11 9908 1673 3547  374  997  803 1059  470 1874  945  361  619  246  773  4523  10   0   0
PhoenixSuns          32    9 9913 1668 3515  422 1059  946 1210  427 1848  976  315  610  225  891  4704  21   0   0
PortlandTrailBlazers 25   16 9949 1630 3550  396 1031  856 1108  414 1833  903  326  503  226  807  4512  16   0   0
SacramentoKings      26   15 9962 1572 3401  455 1228  766 1001  431 1808 1017  349  552  226  823  4365  13   0   0
SanAntonioSpurs      11   30 9914 1502 3405  356 1028  691  896  409 1707  850  286  569  158  813  4051  12   0   0
OklahomaCityThunder  22   19 9899 1632 3469  379 1010  789 1022  352 1691  952  340  546  263  841  4432  14   0   0
TorontoRaptors       18   23 9875 1503 3328  393 1095  787 1000  403 1787  911  261  603  216  806  4186  11   0   0
UtahJazz             19   22 9910 1517 3364  318  909  696  905  370 1658  813  299  453  167  798  4048   9   0   0
WashingtonWizards    22   19 9963 1665 3538  416 1106  734  966  430 1814  964  295  568  207  783  4480  13   0   0
