team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         20   21 9864 1523 3414  366 1076  704  965  391 1823  922  324  627  204  731  4116  15   0   0
BostonCeltics        23   18 9890 1566 3460  467 1365  768  957  339 1667  969  306  487  152  885  4367  23   0   0
CharlotteHornets     14   27 9940 1529 3513  415 1179  758  907  355 1778  902  293  490  172  714  4231   0   0   0
ChicagoBulls         16   25 9894 1586 3528  318  953  692  881  465 1862  878  305  555  190  742  4182  16   0   0
ClevelandCavaliers   20   21 9941 1588 3462  530 1398  717  935  370 1738  850  259  567  142  781  4423  11   0   0
DallasMavericks      12   29 9854 1481 3388  446 1269  547  703  316 1501  851  302  449  154  815  3955  16   0   0
DenverNuggets        18   23 9843 1650 3612  420 1196  772  985  506 1918  933  285  607  167  798  4492   8   0   0
DetroitPistons       13   28 9916 1609 3628  299  967  570  777  453 1812  794  275  464  158  732  4087   9   0   0
GSWarriors           31   10 9860 1701 3556  459 1292  770  960  381 1761 1178  414  594  238  837  4631  22   0   0
HoustonRockets       25   16 9919 1636 3542  575 1606  806 1037  428 1785  994  325  629  172  859  4653  19   0   0
IndianaPacers        13   28 9933 1568 3437  350  942  750  926  387 1704  954  338  587  170  827  4236  11   0   0
LAClippers           22   19 9890 1606 3441  434 1141  770 1043  376 1750  887  276  508  166  824  4416  21   0   0
LALakers              9   32 9831 1564 3587  349 1059  688  911  463 1768  813  337  622  170  881  4165  10   0   0
MemphisGrizzlies     19   22 9981 1525 3439  400 1130  720  921  416 1698  877  330  495  139  921  4170   7   0   0
MiamiHeat            18   23 9834 1560 3546  377 1081  598  827  468 1791  878  300  500  235  841  4095  19   0   0
MilwaukeeBucks       19   22 9861 1569 3349  365  996  646  861  374 1684  983  309  561  231  828  4149   9   0   0
MinnesotaT-wolves    11   30 9910 1618 3509  278  842  773  961  481 1726  936  322  536  191  805  4287   3   0   0
BrooklynNets          7   34 9841 1568 3470  442 1283  815 1031  330 1754  892  302  642  189  869  4393   6   0   0
NOrleansPelicans     13   28 9928 1568 3525  366 1041  641  879  347 1727  898  311  529  205  742  4143   9   0   0
NYKnicks             12   29 9986 1595 3682  344 1013  722  906  497 1866  902  285  528  227  865  4256  17   0   0
OrlandoMagic         13   28 9911 1597 3586  358 1097  627  835  383 1727  935  294  542  186  799  4179   7   0   0
Philadelphia76ers    11   30 9915 1559 3527  404 1206  680  889  413 1736  932  371  663  192  908  4202  10   0   0
PhoenixSuns           9   32 9908 1610 3620  294  904  820 1075  467 1771  783  353  610  173 1031  4334  28   0   0
PortlandTrailBlazers 16   25 9935 1577 3504  398 1098  792  991  413 1780  828  287  552  211  908  4344  15   0   0
SacramentoKings      15   26 9966 1538 3400  348  954  699  930  386 1712  917  309  572  174  841  4123   9   0   0
SanAntonioSpurs      30   11 9903 1610 3456  362  956  724  899  438 1806  910  322  522  236  771  4306   5   0   0
OklahomaCityThunder  19   22 9888 1561 3593  337 1076  791 1054  528 1908  831  320  600  210  893  4250  14   0   0
TorontoRaptors       23   18 9885 1562 3443  347 1028  744  946  402 1726  728  351  476  175  859  4215  23   0   0
UtahJazz             22   19 9911 1532 3310  373 1046  675  898  412 1779  838  272  534  216  792  4112   6   0   0
WashingtonWizards    19   22 9965 1688 3613  353 1037  697  908  412 1762  939  343  526  162  878  4426  22   0   0
