team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         18   23 10005 1615 3591  466 1262  643  827  449 1786 1025  371  627  230  923  4339   5   0   0
BostonCeltics        11   30 9864 1608 3604  368 1126  739  953  465 1830  959  323  547  226  834  4323  17   0   0
CharlotteHornets     19   22 9877 1612 3550  460 1275  554  711  340 1791 1001  249  491  230  841  4238  14   0   0
ChicagoBulls         16   25 9891 1597 3486  341 1033  590  779  385 1722  974  281  544  192  787  4125  13   0   0
ClevelandCavaliers   10   31 9939 1628 3653  425 1185  606  773  443 1753 1027  275  488  159  860  4287  11   0   0
DallasMavericks      20   21 9911 1490 3294  368 1048  665  864  385 1841  828  280  595  135  823  4013  14   0   0
DenverNuggets        19   22 9900 1724 3627  398 1076  693  889  389 1660  970  332  467  173  829  4539  13   0   0
DetroitPistons       17   24 9890 1508 3421  337 1030  703  892  344 1771  919  266  528  176  739  4056   8   0   0
GSWarriors            5   36 9922 1596 3704  353 1137  673  898  477 1749  947  359  583  142  789  4218   6   0   0
HoustonRockets       11   30 9855 1693 3673  408 1197  648  842  442 1832  985  324  599  201  851  4442   9   0   0
IndianaPacers        12   29 9912 1506 3447  400 1181  757  955  425 1801  818  296  580  228  805  4169  10   0   0
LAClippers           12   29 9865 1524 3477  359 1086  724  945  432 1766  893  289  558  109  933  4131  19   0   0
LALakers             24   17 9868 1675 3497  398 1098  727  955  403 1750 1031  327  578  222  758  4475  13   0   0
MemphisGrizzlies     17   24 9912 1390 3229  397 1151  805 1093  377 1719  763  302  570  226  878  3982  23   0   0
MiamiHeat            18   23 9931 1581 3504  305  932  736  936  396 1742  736  283  534  170  791  4203  21   0   0
MilwaukeeBucks       18   23 9915 1543 3353  406 1147  753  954  390 1696  978  292  615  185  845  4245  13   0   0
MinnesotaT-wolves    21   20 9886 1569 3355  400 1111  713  921  380 1609  881  325  584  168  881  4251   9   0   0
BrooklynNets         28   13 9912 1672 3720  400 1117  763 1008  459 1943  878  405  535  221  849  4507   9   0   0
NOrleansPelicans     20   21 9952 1642 3674  426 1208  680  879  433 1982  953  290  532  179  805  4390  11   0   0
NYKnicks             22   19 9868 1611 3546  407 1185  736  947  487 1782  857  316  517  170  749  4365   8   0   0
OrlandoMagic         25   16 9893 1582 3511  382 1071  710  929  410 1874  902  304  516  193  777  4256  10   0   0
Philadelphia76ers    24   17 9903 1571 3494  355 1047  847 1076  418 1812  914  348  572  195  837  4344  12   0   0
PhoenixSuns          26   15 9911 1632 3555  403 1103  922 1177  417 1767  842  348  579  212  931  4589  11   0   0
PortlandTrailBlazers 16   25 9987 1583 3518  366 1027  850 1065  417 1776  785  307  513  211  817  4382  15   0   0
SacramentoKings      24   17 9917 1581 3426  441 1231  780  987  398 1708  924  346  538  193  823  4383  23   0   0
SanAntonioSpurs      10   31 9893 1530 3433  312  917  624  809  393 1697  907  327  568  175  810  3996   1   0   0
OklahomaCityThunder  13   28 9908 1583 3530  345 1028  736  974  400 1641  806  360  533  185  856  4247  17   0   0
TorontoRaptors       13   28 9890 1549 3472  401 1145  732  948  430 1666  875  287  547  180  860  4231  10   0   0
UtahJazz             12   29 9835 1461 3359  353  964  612  796  372 1636  650  301  489  145  857  3887  20   0   0
WashingtonWizards    11   30 9890 1588 3440  394 1116  755 1016  441 1719  906  308  643  176  838  4325  12   0   0
