team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         23   18 10008 1600 3503  363 1060  780 1074  454 1818 1013  347  622  196  760  4343  19   0   0
BostonCeltics        30   11 9876 1602 3517  518 1376  768  946  405 1773 1100  312  551  188  801  4490  18   0   0
CharlotteHornets     22   19 9885 1564 3488  409 1166  833 1046  367 1801  989  277  408  227  646  4370   0   0   0
ChicagoBulls         25   16 9884 1583 3612  305  878  782  967  532 1928  973  342  506  212  713  4253  14   0   0
ClevelandCavaliers   31   10 9938 1686 3501  537 1381  713  976  402 1852 1007  284  515  191  704  4622  11   0   0
DallasMavericks      21   20 9910 1487 3359  432 1204  668  813  337 1669  854  313  473  153  752  4074   8   0   0
DenverNuggets        22   19 9907 1727 3583  450 1166  765 1001  465 1882 1143  287  578  160  769  4669   9   0   0
DetroitPistons       24   17 9883 1660 3653  332  948  570  809  457 1939  938  300  468  154  735  4222  12   0   0
GSWarriors           36    5 9912 1831 3585  523 1269  687  890  393 1884 1314  373  589  315  748  4872  20   0   0
HoustonRockets       30   11 9867 1669 3605  606 1700  861 1140  464 1854 1076  344  560  178  775  4805  14   0   0
IndianaPacers        29   12 9920 1653 3495  360  944  717  885  358 1743  891  330  501  240  770  4383   8   0   0
LAClippers           29   12 9864 1636 3380  407 1103  816 1085  367 1781  961  339  517  184  802  4495  21   0   0
LALakers             17   24 9861 1660 3577  381 1048  709  942  471 1801  903  339  571  154  817  4410  17   0   0
MemphisGrizzlies     24   17 9920 1459 3413  367 1039  784  997  470 1809  867  325  527  205  918  4069  13   0   0
MiamiHeat            23   18 9936 1642 3489  431 1132  650  941  406 1790  864  286  535  238  839  4365  14   0   0
MilwaukeeBucks       23   18 9917 1613 3363  355  951  767  978  348 1630 1002  357  536  209  833  4348  13   0   0
MinnesotaT-wolves    20   21 9888 1617 3412  323  881  813 1025  461 1756 1004  332  567  178  841  4370   9   0   0
BrooklynNets         13   28 9907 1534 3518  435 1308  777  989  391 1846  864  293  664  197  857  4280   8   0   0
NOrleansPelicans     21   20 9955 1642 3605  402 1155  727  946  364 1861  971  328  483  254  748  4413   6   0   0
NYKnicks             19   22 9862 1649 3567  360 1005  642  825  484 1835  884  300  555  223  803  4300   9   0   0
OrlandoMagic         16   25 9890 1542 3545  343 1041  682  918  426 1818  884  284  515  214  785  4109  16   0   0
Philadelphia76ers    17   24 9900 1529 3461  427 1238  713  917  394 1777 1017  322  651  224  885  4198  12   0   0
PhoenixSuns          15   26 9909 1660 3639  321  949  856 1084  510 1916  821  321  615  229  999  4497  24   0   0
PortlandTrailBlazers 25   16 9983 1666 3557  454 1175  721  949  418 1798  905  288  523  200  828  4507   7   0   0
SacramentoKings      17   24 9907 1567 3332  389 1006  784  983  328 1657  927  317  587  152  826  4307  22   0   0
SanAntonioSpurs      31   10 9894 1612 3406  391  969  716  907  385 1790 1043  336  532  249  726  4331   2   0   0
OklahomaCityThunder  28   13 9911 1676 3572  355 1041  784 1059  477 1919  890  325  601  206  822  4491  19   0   0
TorontoRaptors       28   13 9891 1649 3474  378  967  871 1082  469 1819  789  328  494  227  849  4547  16   0   0
UtahJazz             29   12 9837 1501 3201  418 1083  725  975  360 1770  813  277  529  194  752  4145   8   0   0
WashingtonWizards    30   11 9896 1700 3521  403  994  724  904  429 1749 1017  352  574  182  867  4527  20   0   0
