team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         39   43 19866 3178 7154  893 2502 1280 1658  875 3598 1919  737 1205  427 1768  8529  18   0   0
BostonCeltics        29   53 19753 3168 7033  735 2212 1570 2042  887 3654 1851  624 1102  429 1664  8641  34   0   0
CharlotteHornets     46   36 19814 3237 7088  950 2578 1161 1496  726 3637 2012  539 1019  454 1631  8585  25   0   0
ChicagoBulls         41   41 19774 3235 7098  731 2122 1196 1553  850 3549 1938  601 1062  381 1540  8397  28   0   0
ClevelandCavaliers   31   51 19883 3333 7281  850 2352 1271 1644  905 3629 2024  599  989  356 1690  8787  17   0   0
DallasMavericks      49   33 19769 3035 6470  788 2073 1411 1827  727 3652 1743  537 1192  283 1590  8269  21   0   0
DenverNuggets        42   40 19733 3454 7246  808 2151 1403 1794  775 3352 1972  680  947  409 1653  9119  21   0   0
DetroitPistons       45   37 19808 3144 6829  767 2098 1346 1726  656 3516 1929  551  999  341 1434  8401  16   0   0
GSWarriors           15   67 19777 3181 7309  737 2275 1450 1905  962 3564 1862  708 1213  316 1588  8549  27   0   0
HoustonRockets       27   55 19765 3375 7280  820 2386 1415 1819  877 3610 1979  699 1176  408 1674  8985  33   0   0
IndianaPacers        40   42 19847 3115 6911  849 2391 1557 1974  882 3634 1832  659 1173  409 1599  8636  17   0   0
LAClippers           31   51 19745 3163 6999  753 2154 1480 1917  839 3536 1891  582 1031  263 1834  8559  39   0   0
LALakers             56   26 19717 3405 7054  831 2248 1499 1966  846 3647 2110  698 1146  446 1520  9140  20   0   0
MemphisGrizzlies     39   43 19896 2864 6466  813 2299 1658 2202  766 3461 1645  577 1121  413 1708  8199  34   0   0
MiamiHeat            41   41 19760 3108 6902  639 1862 1518 1940  835 3571 1611  557 1066  406 1530  8373  35   0   0
MilwaukeeBucks       40   42 19775 3116 6801  816 2307 1464 1900  848 3483 1974  609 1144  379 1579  8512  26   0   0
MinnesotaT-wolves    51   31 19795 3246 6828  811 2213 1445 1881  808 3315 1896  633 1133  414 1680  8748  23   0   0
BrooklynNets         62   20 19753 3414 7446  816 2229 1581 2049  902 3869 1888  779 1056  460 1672  9225  20   0   0
NOrleansPelicans     48   34 19898 3286 7297  863 2443 1293 1697  877 3967 1921  603 1103  350 1581  8728  27   0   0
NYKnicks             51   31 19865 3259 7156  806 2313 1533 1988  954 3669 1786  616 1017  373 1516  8857  23   0   0
OrlandoMagic         53   29 19800 3304 7084  794 2163 1424 1858  800 3733 1936  625 1019  417 1531  8826  13   0   0
Philadelphia76ers    54   28 19811 3244 7041  729 2044 1650 2135  888 3686 1859  709 1191  441 1610  8867  22   0   0
PhoenixSuns          58   24 19824 3300 7070  825 2162 1868 2387  844 3615 1818  663 1189  437 1822  9293  32   0   0
PortlandTrailBlazers 41   41 19936 3213 7068  762 2058 1706 2173  831 3609 1688  633 1016  437 1624  8894  31   0   0
SacramentoKings      50   32 19879 3153 6827  896 2459 1546 1988  829 3516 1941  695 1090  419 1646  8748  36   0   0
SanAntonioSpurs      21   61 19807 3032 6838  668 1945 1315 1705  802 3404 1757  613 1137  333 1623  8047  13   0   0
OklahomaCityThunder  35   47 19807 3215 6999  724 2038 1525 1996  752 3332 1758  700 1079  448 1697  8679  31   0   0
TorontoRaptors       31   51 19765 3052 6800  794 2240 1519 1948  833 3453 1786  548 1150  396 1666  8417  21   0   0
UtahJazz             31   51 19745 2978 6723  671 1873 1308 1701  742 3294 1463  600  942  312 1655  7935  29   0   0
WashingtonWizards    33   49 19853 3253 6978  810 2222 1489 1982  871 3533 1870  603 1211  383 1621  8805  25   0   0
