team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         43   39 19872 3123 6917  729 2136 1484 2039  845 3641 1935  671 1249  400 1491  8459  34   0   0
BostonCeltics        53   29 19766 3168 6977  985 2741 1536 1903  744 3440 2069  618 1038  340 1686  8857  41   0   0
CharlotteHornets     36   46 19825 3093 7001  824 2345 1591 1953  722 3579 1891  570  898  399 1360  8601   0   0   0
ChicagoBulls         41   41 19778 3169 7140  623 1831 1474 1848  997 3790 1851  647 1061  402 1455  8435  30   0   0
ClevelandCavaliers   51   31 19879 3274 6963 1067 2779 1430 1911  772 3590 1857  543 1082  333 1485  9045  22   0   0
DallasMavericks      33   49 19764 2968 6747  878 2473 1215 1516  653 3170 1705  615  922  307 1567  8029  24   0   0
DenverNuggets        40   42 19750 3377 7195  870 2362 1537 1986  971 3800 2076  572 1185  327 1567  9161  17   0   0
DetroitPistons       37   45 19799 3269 7281  631 1915 1140 1586  910 3751 1732  575  932  312 1467  8309  21   0   0
GSWarriors           67   15 19772 3532 7141  982 2561 1457 1850  774 3645 2492  787 1183  553 1585  9503  42   0   0
HoustonRockets       55   27 19786 3305 7147 1181 3306 1667 2177  892 3639 2070  669 1189  350 1634  9458  33   0   0
IndianaPacers        42   40 19853 3221 6932  710 1886 1467 1811  745 3447 1845  668 1088  410 1597  8619  19   0   0
LAClippers           51   31 19754 3242 6821  841 2244 1586 2128  743 3531 1848  615 1025  350 1626  8911  42   0   0
LALakers             26   56 19692 3224 7164  730 2107 1397 1853  934 3569 1716  676 1193  324 1698  8575  27   0   0
MemphisGrizzlies     43   39 19901 2984 6852  767 2169 1504 1918  886 3507 1744  655 1022  344 1839  8239  20   0   0
MiamiHeat            41   41 19770 3202 7035  808 2213 1248 1768  874 3581 1742  586 1035  473 1680  8460  33   0   0
MilwaukeeBucks       42   40 19778 3182 6712  720 1947 1413 1839  722 3314 1985  666 1097  440 1661  8497  22   0   0
MinnesotaT-wolves    31   51 19798 3235 6921  601 1723 1586 1986  942 3482 1940  654 1103  369 1646  8657  12   0   0
BrooklynNets         20   62 19748 3102 6988  877 2591 1592 2020  721 3600 1756  595 1306  386 1726  8673  14   0   0
NOrleansPelicans     34   48 19883 3210 7130  768 2196 1368 1825  711 3588 1869  639 1012  459 1490  8556  15   0   0
NYKnicks             31   51 19848 3244 7249  704 2018 1364 1731  981 3701 1786  585 1083  450 1668  8556  26   0   0
OrlandoMagic         29   53 19801 3139 7131  701 2138 1309 1753  809 3545 1819  578 1057  400 1584  8288  23   0   0
Philadelphia76ers    28   54 19815 3088 6988  831 2444 1393 1806  807 3513 1949  693 1314  416 1793  8400  22   0   0
PhoenixSuns          24   58 19817 3270 7259  615 1853 1676 2159  977 3687 1604  674 1225  402 2030  8831  52   0   0
PortlandTrailBlazers 41   41 19918 3243 7061  852 2273 1513 1940  831 3578 1733  575 1075  411 1736  8851  22   0   0
SacramentoKings      32   50 19873 3105 6732  737 1960 1483 1913  714 3369 1844  626 1159  326 1667  8430  31   0   0
SanAntonioSpurs      61   21 19797 3222 6862  753 1925 1440 1806  823 3596 1953  658 1054  485 1497  8637   7   0   0
OklahomaCityThunder  47   35 19799 3237 7165  692 2117 1575 2113 1005 3827 1721  645 1201  416 1715  8741  33   0   0
TorontoRaptors       51   31 19776 3211 6917  725 1995 1615 2028  871 3545 1517  679  970  402 1708  8762  39   0   0
UtahJazz             51   31 19748 3033 6511  791 2129 1400 1873  772 3549 1651  549 1063  410 1544  8257  14   0   0
WashingtonWizards    49   33 19861 3388 7134  756 2031 1421 1812  841 3511 1956  695 1100  344 1745  8953  42   0   0
