,Player,AS/48,ST/48,TO/48,BK/48,BA/48,OR/48,TR/48
1,"walker,kemba",7.6,1.5,2.9,0.3,0,0.8,5.5
2,"batum,nicolas",8.3,1.6,3.5,0.6,0,0.9,8.9
3,"kaminsky,frank",4,1.2,1.9,0.9,0,1.4,8.3
4,"williams,marvin",2.2,1.2,1.3,1.1,0,1.9,10.3
5,"belinelli,marco",4,1.2,1.9,0.2,0,0.4,4.8
6,"zeller,cody",2.8,1.6,1.8,1.8,0,3.8,11.3
7,"lamb,jeremy",3.1,1.1,1.7,1,0,1.3,11.1
8,"kidd-gilchrist,m",2.3,1.6,1.1,1.5,0,3.2,11.5
9,"hawes,spencer",4.8,1.1,3.1,2,0,2.5,11.3
10,"sessions,ramon",7.6,1.4,2.7,0.2,0,0.7,4.4
11,"hibbert,roy",1.5,0.6,2.2,3.3,0,3.8,10.8
12,"o'bryant,johnny",5.5,0,4.1,0,0,5.5,11
13,"weber,briante",5.1,3,1.5,0,0,2.4,6.3
14,"roberts,brian",6.2,1,3,0.1,0,0.6,4.7
15,"wood,christian",0.9,1.4,3.2,2.7,0,6.3,13.1
16,"plumlee,miles",0.8,1.9,2.2,1.1,0,3.9,11.3
17,"graham,treveon",1.5,1.5,0.8,0.3,0,1.3,5.6
18,"tobey,mike",1.9,0,1.9,0,0,3.8,5.8
19,"harrison,aaron",9,0,0,0,0,0,9
