,Player,Team,Pts,Reb,Ast,Stl,Blk,eFG%,TS%,USG%,O-Rt,D-Rt,DRE/36,PER
0,DeMarcus Cousins,SAC,19.83%,20.50%,10.62%,13.77%,24.31%,47.70%,53.80%,35.40%,103.1,102.4,2.22,23.3
1,Brook Lopez,BKN,18.56%,16.50%,8.04%,9.25%,37.46%,51.20%,56.20%,27.50%,109.3,108.3,1.46,21.8
2,Chris Bosh,MIA,10.56%,9.20%,6.66%,5.72%,5.54%,52.00%,57.10%,25.20%,113.2,103.6,2.06,20.3
3,Nikola Vucevic,ORL,14.11%,16.10%,9.26%,8.01%,16.79%,51.10%,53.10%,26.80%,106.7,105.0,1.36,21.0
4,Jahlil Okafor,PHI,11.62%,11.03%,3.68%,3.24%,12.32%,50.90%,53.60%,27.30%,100.1,110.1,-1.19,17.2
5,Marc Gasol,MEM,10.19%,10.12%,11.12%,6.61%,19.13%,46.50%,52.80%,23.80%,104.2,104.3,0.51,17.6
6,Andre Drummond,DET,15.76%,31.18%,3.84%,20.27%,37.46%,52.20%,49.90%,24.10%,102.8,98.2,1.5,21.2
7,Al Horford,ATL,14.64%,17.02%,12.52%,9.57%,25.94%,54.70%,56.50%,20.60%,113.0,101.0,2.55,19.4
8,Kristaps Porzingis,NYK,12.75%,14.43%,5.53%,11.13%,28.76%,46.70%,51.80%,24.50%,102.9,104.0,0.26,17.7
9,Hassan Whiteside,MIA,12.11%,23.01%,1.70%,8.27%,48.37%,60.60%,62.90%,20.80%,116.9,94.9,4.19,25.7
10,Dwight Howard,HOU,11.33%,24.02%,5.54%,8.46%,26.61%,62.00%,60.40%,18.30%,111.0,104.0,1.82,18.8
11,Marcin Gortat,WAS,11.86%,21.57%,5.29%,6.63%,29.50%,56.70%,59.20%,19.00%,113.8,103.7,1.82,18.9
12,Jonas Valanciunas,TOR,9.12%,15.52%,2.89%,4.52%,18.04%,56.50%,61.00%,20.70%,120.7,103.9,2.71,22.5
13,DeAndre Jordan,LAC,11.46%,31.05%,5.10%,7.76%,39.34%,70.30%,62.80%,15.50%,121.7,97.5,3.58,20.5
