,	Player	,	Team	,	GP	,	MIN	,	TCH/G	,	Tch/Min	,	PossTm	,	Post	,	Paint	,	PPG	,	Pts/Tch	,	FPPG	,	FP/Tch	
0,Andre Drummond,DET,4,32.9,39.5,1.2,1.0,6.0,4.8,4.2,0.43,38.55,0.98
1,Al Horford,ATL,10,32.7,65.0,1.99,1.5,4.0,3.5,1.34,0.21,31.98,0.49
2,Hassan Whiteside,MIA,10,29.1,34.4,1.18,0.7,6.2,6.0,1.2,0.35,35.25,1.02
3,Dwight Howard,HOU,5,36.0,68.8,1.91,1.7,9.8,9.2,2.64,0.19,32.83,0.48
4,Jonas Valanciunas,TOR,11,27.6,54.4,1.97,1.3,6.5,5.4,1.32,0.27,27.75,0.51
5,DeAndre Jordan,LAC,6,33.0,60.0,1.82,1.3,3.2,3.3,1.95,0.2,35.88,0.6
6,Enes Kanter,OKC,16,19.0,30.6,1.61,0.6,2.3,2.0,0.6,0.31,22.39,0.73
7,Al Jefferson,CHA,7,24.1,34.6,1.44,1.2,5.7,4.1,1.9,0.38,23.76,0.69
8,Myles Turner,IND,7,28.2,38.4,1.36,0.9,5.0,4.1,1.47,0.27,20.95,0.55
9,Jared Sullinger,BOS,6,13.6,27.2,2.0,0.7,3.0,2.3,0.87,0.19,24.38,0.9
10,Kelly Olynyk,BOS,4,7.9,16.8,2.13,0.4,0.8,0.8,0.13,0.03,17.56,1.05
11,Ian Mahinmi,IND,7,24.6,35.9,1.46,0.8,4.6,4.6,1.16,0.23,22.11,0.62
12,Cody Zeller,CHA,7,19.6,18.1,0.92,0.5,2.3,2.6,1.2,0.46,19.71,1.09
13,Zaza Pachulia,DAL,5,22.4,34.4,1.54,0.9,3.6,3.0,1.32,0.19,22.86,0.66
14,Steven Adams,OKC,16,31.2,50.2,1.61,0.9,5.0,5.1,0.64,0.21,20.2,0.4
15,Kris Humphries,ATL,4,14.0,31.5,2.25,0.7,1.3,0.8,2.33,0.3,13.8,0.44
16,Festus Ezeli,GSW,14,9.1,16.2,1.78,0.3,3.3,3.1,0.39,0.33,15.27,0.94
17,Tyler Zeller,BOS,3,12.7,21.0,1.65,0.5,2.3,1.0,2.0,0.29,10.8,0.51
18,Spencer Hawes,CHA,5,10.6,17.8,1.68,0.4,0.8,0.6,0.72,0.2,14.2,0.8
19,Timofey Mozgov,CLE,8,6.3,8.4,1.33,0.2,0.6,0.4,0.13,0.12,12.57,1.5
20,Bismack Biyombo,TOR,19,25.2,35.9,1.42,0.8,3.1,3.1,0.33,0.18,18.94,0.53
21,Boban Marjanovic,SA,7,6.0,10.1,1.68,0.3,1.7,1.7,0.49,0.34,10.99,1.09
22,Cole Aldrich,LAC,6,12.8,24.2,1.89,0.5,1.7,2.2,0.63,0.16,15.29,0.63
23,Andrew Bogut,GSW,15,17.5,32.2,1.84,0.9,2.7,2.1,0.35,0.16,20.06,0.62
24,JaVale McGee,DAL,2,7.1,9.5,1.34,0.2,0.5,0.5,1.0,0.21,10.66,1.12
25,Salah Mejri,DAL,4,19.0,22.5,1.18,0.4,3.3,2.8,1.2,0.21,10.83,0.48
26,Chris Kaman,POR,4,8.1,15.3,1.89,0.4,1.3,0.5,0.88,0.23,5.42,0.35
27,Anderson Varejao,GSW,9,5.4,9.4,1.74,0.2,0.8,0.9,0.13,0.13,6.91,0.74
28,Lucas Nogueira,TOR,5,5.8,7.6,1.31,0.1,0.8,0.6,0.24,0.16,5.43,0.71
29,Jeff Ayres,LAC,2,1.2,0.5,0.42,0.0,0.0,0.0,0.75,3.0,3.72,7.43
