,Player,Team,Pts,Reb,Ast,Stl,Blk,eFG%,TS%,USG%,O-Rt,D-Rt,DRE/36,PER
0,Kevin Durant,OKC,23.26%,14.98%,18.84%,11.53%,17.58%,57.30%,63.40%,30.70%,121.7,104.2,4.27,28.2
1,LeBron James,CLE,22.52%,16.13%,27.97%,20.80%,16.30%,55.10%,58.80%,31.40%,116.5,102.3,4.77,27.5
2,Anthony Davis,NO,17.58%,17.95%,6.38%,12.32%,36.55%,50.80%,55.90%,29.60%,110.1,104.4,3.86,25.0
3,Paul George,IND,22.86%,15.76%,19.22%,20.91%,7.89%,49.00%,55.80%,30.40%,106.6,101.1,2.7,20.9
4,Carmelo Anthony,NYK,19.50%,15.31%,17.78%,13.28%,8.15%,47.40%,53.00%,29.70%,106.7,106.9,0.83,20.3
5,Kawhi Leonard,SA,18.40%,13.91%,9.63%,20.05%,15.26%,56.50%,61.60%,25.80%,121.5,95.6,6.4,25.9
6,Blake Griffin,LAC,8.83%,8.83%,9.38%,4.08%,3.89%,50.40%,54.40%,29.60%,108.6,102.2,1.7,21.9
7,Danilo Gallinari,DEN,12.40%,7.65%,7.21%,6.90%,4.81%,47.20%,58.20%,23.00%,119.9,109.8,2.09,18.9
8,LaMarcus Aldridge,SA,16.30%,17.89%,5.40%,5.47%,17.06%,51.30%,56.50%,25.90%,114.5,98.8,2.23,22.2
9,Dirk Nowitzki,DAL,16.64%,13.85%,7.31%,9.15%,17.41%,50.40%,55.50%,25.60%,110.2,105.9,1.76,18.9
10,Karl-Anthony Towns,MIN,17.90%,25.06%,8.40%,8.84%,36.80%,55.60%,59.00%,24.80%,112.0,106.3,2.57,22.4
11,Khris Middleton,MIL,17.66%,8.78%,17.47%,19.52%,3.99%,50.70%,56.00%,23.10%,109.1,109.8,1.54,16.8
12,Rudy Gay,SAC,13.63%,12.52%,5.89%,13.64%,14.09%,50.00%,53.80%,22.60%,103.7,107.9,0.62,15.4
13,Ryan Anderson,NO,13.34%,11.36%,4.07%,6.00%,7.31%,49.80%,54.60%,24.60%,108.7,111.5,0.17,17.2
14,Paul Millsap,ATL,16.32%,21.27%,12.57%,19.63%,28.80%,50.50%,55.60%,24.30%,108.2,96.4,3.28,21.2
15,Pau Gasol,CHI,14.24%,20.86%,15.72%,8.48%,31.06%,48.10%,52.90%,24.60%,106.9,100.3,1.74,21.6
16,Derrick Favors,UTA,12.55%,14.09%,5.93%,11.86%,21.55%,51.50%,55.10%,23.80%,111.3,101.0,2.04,21.5
