,	Player	,	Team	,	GP	,	MIN	,	TCH/G	,	Tch/Min	,	PossTm	,	Post	,	Paint	,	PPG	,	Pts/Tch	,	FPPG	,	FP/Tch	
0,Kevin Durant,OKC,16,39.7,64.1,1.61,3.5,1.4,1.1,1.78,0.44,45.5,0.71
1,LeBron James,CLE,13,37.6,80.9,2.15,5.1,3.4,2.8,1.84,0.3,45.55,0.56
2,Paul George,IND,7,39.3,69.0,1.76,3.0,1.3,1.0,3.9,0.4,39.24,0.57
3,Kawhi Leonard,SA,10,33.9,55.1,1.63,2.9,1.6,1.3,2.25,0.41,37.75,0.69
4,Blake Griffin,LAC,4,31.7,71.5,2.26,2.6,2.0,1.3,3.75,0.21,38.23,0.53
5,LaMarcus Aldridge,SA,10,33.7,56.8,1.69,1.7,4.4,3.4,2.19,0.39,32.76,0.58
6,Dirk Nowitzki,DAL,5,34.0,52.6,1.55,1.5,3.6,1.6,4.08,0.39,30.35,0.58
7,Paul Millsap,ATL,10,36.5,67.0,1.84,2.3,3.8,2.6,1.67,0.25,37.45,0.56
8,Kevin Love,CLE,13,32.0,60.7,1.9,1.7,3.1,2.4,1.32,0.28,32.34,0.53
9,Zach Randolph,MEM,4,29.9,50.8,1.7,2.0,2.5,2.5,3.25,0.26,27.7,0.55
10,Tobias Harris,DET,4,39.0,63.0,1.62,1.9,0.5,0.3,3.63,0.23,27.67,0.44
11,Nicolas Batum,CHA,5,28.8,49.8,1.73,1.9,0.2,0.2,2.28,0.23,29.98,0.6
12,Marcus Morris,DET,4,36.0,50.8,1.41,1.3,2.3,1.3,4.45,0.35,24.5,0.48
13,Draymond Green,GSW,15,37.1,91.4,2.46,3.2,2.4,1.3,1.03,0.17,39.14,0.43
14,Jae Crowder,BOS,6,32.9,61.5,1.87,1.3,1.3,1.2,1.58,0.15,26.31,0.43
15,Luol Deng,MIA,14,35.3,59.2,1.68,1.5,1.5,1.3,0.95,0.22,24.06,0.41
16,Serge Ibaka,OKC,16,32.7,30.4,0.93,0.6,0.8,0.8,0.73,0.38,25.04,0.82
17,Trevor Ariza,HOU,5,36.2,43.0,1.19,1.2,0.6,0.0,1.32,0.15,24.27,0.56
18,Michael Beasley,HOU,5,16.0,30.4,1.9,0.9,1.8,2.0,2.08,0.34,19.57,0.64
19,Jeff Green,LAC,6,26.4,32.2,1.22,1.2,0.3,0.3,1.7,0.32,20.35,0.63
20,Harrison Barnes,GSW,15,31.4,41.3,1.32,1.1,1.4,1.0,0.61,0.22,20.24,0.49
21,Marvin Williams,CHA,7,32.5,45.4,1.4,0.8,1.1,0.7,0.73,0.11,23.42,0.52
22,Evan Turner,BOS,6,35.7,68.7,1.92,3.4,1.5,1.2,2.2,0.19,24.13,0.35
23,Al-Farouq Aminu,POR,11,33.8,47.2,1.4,1.2,1.9,1.6,1.33,0.31,22.59,0.48
24,Matt Barnes,MEM,4,34.8,64.5,1.85,2.0,2.0,1.8,2.7,0.17,21.83,0.34
25,DeMarre Carroll,TOR,19,29.9,34.6,1.16,1.0,0.8,0.7,0.47,0.26,18.92,0.55
26,Mason Plumlee,POR,11,27.8,55.2,1.99,1.5,5.1,5.3,0.64,0.13,24.85,0.45
27,Jordan Hill,IND,5,3.0,6.4,2.13,0.2,0.0,0.0,0.0,0.0,17.7,2.77
28,Tim Duncan,SA,10,21.8,35.0,1.61,0.9,3.9,3.9,0.59,0.17,22.88,0.65
