,Player,Team,Pts,Reb,Ast,Stl,Blk,eFG%,TS%,USG%,O-Rt,D-Rt,DRE/36,PER
0,Stephen Curry,GSW,23.44%,10.77%,20.94%,22.86%,2.76%,63.00%,66.90%,32.60%,124.7,102.8,9.17,31.3
1,James Harden,HOU,27.29%,14.01%,34.00%,17.38%,11.53%,51.20%,59.80%,32.50%,115.0,108.3,3.99,25.2
2,Damian Lillard,POR,22.17%,8.11%,29.31%,12.48%,7.42%,49.70%,56.00%,31.30%,113.1,110.8,1.8,22.1
3,Russell Westbrook,OKC,21.28%,15.57%,45.72%,27.78%,3.55%,48.90%,55.40%,31.60%,115.5,103.2,4.73,27.6
4,DeMar DeRozan,TOR,21.83%,9.89%,19.80%,12.79%,4.61%,46.30%,55.00%,29.80%,112.9,108.2,0.55,21.5
5,Klay Thompson,GSW,19.40%,8.17%,7.51%,9.41%,9.14%,56.90%,59.70%,26.30%,112.2,107.9,2.47,18.5
6,Isaiah Thomas,BOS,21.33%,6.62%,25.50%,12.21%,3.68%,48.80%,56.20%,29.60%,113.0,107.1,2.43,21.5
7,Kemba Walker,CHA,20.37%,9.86%,24.08%,21.43%,9.51%,49.50%,55.40%,26.50%,111.5,104.7,2.62,20.8
8,Jimmy Butler,CHI,16.78%,9.46%,17.17%,22.22%,9.15%,48.50%,56.30%,24.40%,116.2,105.7,3.35,21.5
9,C.J. McCollum,POR,19.36%,7.06%,18.98%,16.96%,6.94%,51.70%,54.40%,27.10%,107.8,110.2,0.5,17.7
10,Kyle Lowry,TOR,19.57%,10.56%,33.06%,24.03%,6.91%,51.60%,57.80%,26.10%,115.2,104.5,2.87,22.1
11,Andrew Wiggins,MIN,19.95%,8.63%,8.56%,11.89%,12.27%,48.10%,54.30%,27.20%,105.7,113.4,-0.33,16.5
12,Kyrie Irving,CLE,13.74%,4.49%,14.63%,11.86%,7.07%,49.60%,54.00%,29.40%,109.6,107.9,1.65,19.8
13,Eric Bledsoe,PHO,7.64%,3.40%,11.17%,9.97%,6.07%,50.20%,55.70%,27.20%,107.1,104.9,2.38,20.0
14,Gordon Hayward,UTA,19.85%,11.16%,19.17%,15.22%,6.54%,49.30%,55.90%,25.70%,110.3,106.2,0.9,18.3
15,John Wall,WAS,17.94%,11.02%,39.40%,20.45%,18.32%,46.70%,51.00%,28.60%,102.2,104.6,1.66,19.7
16,Chris Paul,LAC,16.82%,8.75%,38.70%,21.05%,2.66%,51.70%,57.50%,27.20%,119.3,102.5,6.59,26.1
17,Brandon Knight,PHO,12.31%,5.50%,15.46%,9.65%,6.39%,48.20%,52.20%,26.40%,100.5,110.1,-1.22,14.7
18,Dwyane Wade,MIA,17.88%,8.99%,20.86%,14.31%,8.96%,45.90%,51.70%,31.80%,103.4,105.9,0.12,20.4
19,Reggie Jackson,DET,17.76%,6.71%,31.59%,11.07%,4.13%,48.20%,53.50%,29.00%,109.2,108.6,0.45,19.5
20,Kobe Bryant,LAL,14.51%,6.88%,12.04%,10.20%,3.92%,41.70%,46.90%,32.10%,95.7,113.5,-2.27,14.8
21,Bradley Beal,WAS,11.23%,5.51%,8.03%,7.62%,3.42%,51.50%,54.70%,25.10%,103.9,108.1,0.17,15.5
22,Giannis Antetokounmpo,MIL,16.62%,17.93%,18.31%,14.01%,23.74%,52.00%,56.60%,22.40%,108.6,106.5,1.84,18.8
23,Jrue Holiday,NO,12.93%,5.58%,21.45%,13.90%,6.43%,48.50%,52.90%,28.90%,104.7,109.0,1.78,19.6
24,Derrick Rose,CHI,12.96%,5.93%,16.63%,8.89%,2.98%,44.80%,47.90%,27.10%,95.6,109.8,-2.93,13.4
25,J.J. Redick,LAC,14.27%,4.05%,5.60%,5.66%,1.23%,59.30%,63.20%,22.60%,118.2,108.8,1.85,17.4
26,Victor Oladipo,ORL,13.78%,9.80%,14.59%,17.21%,12.95%,48.90%,53.40%,22.90%,105.0,105.9,1.51,16.7
27,Jeff Teague,ATL,14.82%,6.01%,23.13%,12.76%,4.65%,49.50%,55.10%,26.60%,105.4,104.1,1.23,17.9
28,Louis Williams,LAL,12.99%,4.80%,11.21%,10.54%,5.72%,,,,,,1.67,
29,Jordan Clarkson,LAL,15.32%,8.86%,13.00%,14.97%,2.11%,48.30%,51.60%,22.80%,102.8,113.2,-0.71,14.3
30,Evan Fournier,ORL,14.49%,6.33%,11.02%,14.24%,0.48%,54.60%,58.70%,20.20%,111.3,109.7,1.13,14.6
31,Mike Conley,MEM,10.14%,4.59%,19.40%,8.85%,4.37%,47.80%,53.80%,22.90%,113.9,108.1,2.55,19.3
32,Avery Bradley,BOS,12.69%,5.65%,7.44%,15.04%,5.26%,52.00%,53.80%,19.80%,104.8,106.1,0.47,13.2
33,Eric Gordon,NO,8.14%,2.83%,6.66%,6.79%,4.09%,52.10%,56.50%,20.50%,107.1,111.5,0.16,13.4
