,	Player	,	Team	,	GP	,	MIN	,	TCH/G	,	Tch/Min	,	PossTm	,	Post	,	Paint	,	PPG	,	Pts/Tch	,	FPPG	,	FP/Tch	
0,Stephen Curry,GSW,9,31.9,78.0,2.45,5.2,1.6,1.1,2.8,0.32,47.14,0.6
1,James Harden,HOU,5,38.6,84.6,2.19,6.5,0.4,0.6,5.32,0.31,47.37,0.56
2,Damian Lillard,POR,11,39.8,95.9,2.41,9.3,0.5,0.7,2.41,0.28,39.63,0.41
3,Russell Westbrook,OKC,16,36.6,90.4,2.47,9.2,1.2,0.7,1.64,0.29,49.37,0.55
4,DeMar DeRozan,TOR,19,37.1,59.5,1.6,4.0,0.6,0.6,1.1,0.35,34.16,0.57
5,Klay Thompson,GSW,15,34.7,53.1,1.53,2.0,2.1,2.4,1.7,0.48,31.51,0.59
6,Isaiah Thomas,BOS,6,36.6,90.5,2.47,6.9,0.7,0.5,4.03,0.27,34.96,0.39
7,Kemba Walker,CHA,7,37.1,90.1,2.43,9.1,0.6,0.3,3.24,0.25,35.95,0.4
8,C.J. McCollum,POR,11,40.2,63.2,1.57,4.4,0.8,0.5,1.86,0.32,31.61,0.5
9,Kyle Lowry,TOR,19,38.1,88.1,2.31,7.0,0.6,0.3,0.96,0.21,37.63,0.43
10,Kyrie Irving,CLE,13,35.5,76.5,2.15,6.7,0.4,0.5,1.83,0.31,31.95,0.42
11,Chris Paul,LAC,4,31.3,81.8,2.61,7.3,0.5,0.5,5.95,0.29,41.42,0.51
12,Dwyane Wade,MIA,14,33.8,63.6,1.88,5.0,1.3,1.0,1.53,0.34,32.06,0.5
13,Reggie Jackson,DET,4,36.8,85.5,2.32,8.4,0.3,0.0,3.58,0.17,31.32,0.37
14,J.J. Redick,LAC,6,27.7,33.0,1.19,0.9,1.0,1.3,2.25,0.41,20.61,0.62
15,Jeff Teague,ATL,10,27.9,65.4,2.34,5.5,0.3,0.3,1.45,0.22,27.84,0.43
16,Avery Bradley,BOS,1,33.2,38.0,1.14,1.2,0.0,0.0,18.0,0.47,23.96,0.63
17,Kentavious Caldwell-Pope,DET,4,40.3,42.3,1.05,1.6,1.0,0.8,3.83,0.36,23.93,0.57
18,Goran Dragic,MIA,14,33.7,79.6,2.36,5.9,1.1,0.9,1.18,0.21,27.35,0.34
19,Jamal Crawford,LAC,6,33.2,53.2,1.6,3.7,0.5,1.0,2.88,0.33,20.4,0.38
20,Deron Williams,DAL,3,16.4,50.3,3.07,2.9,0.3,0.3,1.67,0.1,25.57,0.51
21,Monta Ellis,IND,7,32.2,67.6,2.1,5.0,0.4,0.3,1.66,0.17,26.85,0.4
22,Wesley Matthews,DAL,5,34.7,50.2,1.45,1.6,0.2,0.2,2.6,0.26,20.54,0.41
23,J.R. Smith,CLE,13,33.3,35.5,1.07,1.0,0.5,0.5,0.91,0.33,20.24,0.57
24,Joe Johnson,MIA,14,35.2,45.8,1.3,2.3,1.1,0.4,0.86,0.26,22.04,0.48
25,George Hill,IND,7,33.6,55.3,1.65,3.1,0.4,0.4,1.94,0.25,23.3,0.42
26,Jeremy Lin,CHA,7,27.0,46.1,1.71,3.6,0.6,0.3,1.77,0.27,20.71,0.45
